Data Table for Daily Death Trends - California
Date generated: Tue Nov 30 2021 22:04:17 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,7-Day Moving Avg,Total Doses Administered
California,May 11 2020,34,73,N/A
California,May 10 2020,81,74,N/A
California,May  9 2020,83,70,N/A
California,May  8 2020,81,72,N/A
California,May  7 2020,87,74,N/A
California,May  6 2020,104,73,N/A
California,May  5 2020,43,71,N/A
California,May  4 2020,40,71,N/A
California,May  3 2020,55,70,N/A
California,May  2 2020,95,72,N/A
California,May  1 2020,98,71,N/A
California,Apr 30 2020,81,70,N/A
California,Apr 29 2020,88,73,N/A
California,Apr 28 2020,45,76,N/A
California,Apr 27 2020,29,75,N/A
California,Apr 26 2020,74,75,N/A
California,Apr 25 2020,84,78,N/A
California,Apr 24 2020,93,77,N/A
California,Apr 23 2020,103,75,N/A
California,Apr 22 2020,105,72,N/A
California,Apr 21 2020,41,70,N/A
California,Apr 20 2020,30,69,N/A
California,Apr 19 2020,93,71,N/A
California,Apr 18 2020,74,63,N/A
California,Apr 17 2020,80,58,N/A
California,Apr 16 2020,82,54,N/A
California,Apr 15 2020,96,49,N/A
California,Apr 14 2020,34,45,N/A
California,Apr 13 2020,38,45,N/A
California,Apr 12 2020,39,43,N/A
California,Apr 11 2020,40,43,N/A
California,Apr 10 2020,49,43,N/A
California,Apr  9 2020,49,41,N/A
California,Apr  8 2020,69,38,N/A
California,Apr  7 2020,31,32,N/A
California,Apr  6 2020,24,29,N/A
California,Apr  5 2020,43,26,N/A
California,Apr  4 2020,39,39,N/A
California,Apr  3 2020,34,37,N/A
California,Apr  2 2020,32,34,N/A
California,Apr  1 2020,21,31,N/A
California,Mar 31 2020,15,30,N/A
California,Mar 30 2020,0,28,N/A
California,Mar 29 2020,134,29,N/A
California,Mar 28 2020,23,11,N/A
California,Mar 27 2020,14,8,N/A
California,Mar 26 2020,16,7,N/A
California,Mar 25 2020,11,5,N/A
California,Mar 24 2020,2,4,N/A
California,Mar 23 2020,9,4,N/A
California,Mar 22 2020,2,3,N/A
California,Mar 21 2020,6,3,N/A
California,Mar 20 2020,3,2,N/A
California,Mar 19 2020,8,1,N/A
California,Mar 18 2020,2,0,N/A
California,Mar 17 2020,0,0,N/A
California,Mar 16 2020,1,0,N/A
California,Mar 15 2020,1,0,N/A
California,Mar 14 2020,0,0,N/A
California,Mar 13 2020,1,0,N/A
California,Mar 12 2020,0,0,N/A
California,Mar 11 2020,1,0,N/A
California,Mar 10 2020,1,0,N/A
California,Mar  9 2020,0,0,N/A
California,Mar  8 2020,0,0,N/A
California,Mar  7 2020,0,0,N/A
California,Mar  6 2020,0,0,N/A
California,Mar  5 2020,1,0,N/A
California,Mar  4 2020,0,0,N/A
California,Mar  3 2020,0,0,N/A
California,Mar  2 2020,0,0,N/A
California,Mar  1 2020,0,0,N/A
California,Feb 29 2020,0,0,N/A
California,Feb 28 2020,0,0,N/A
California,Feb 27 2020,0,0,N/A
California,Feb 26 2020,0,0,N/A
California,Feb 25 2020,0,0,N/A
California,Feb 24 2020,0,0,N/A
California,Feb 23 2020,0,0,N/A
California,Feb 22 2020,0,0,N/A
California,Feb 21 2020,0,0,N/A
California,Feb 20 2020,0,0,N/A
California,Feb 19 2020,0,0,N/A
California,Feb 18 2020,0,0,N/A
California,Feb 17 2020,0,0,N/A
California,Feb 16 2020,0,0,N/A
California,Feb 15 2020,0,0,N/A
California,Feb 14 2020,0,0,N/A
California,Feb 13 2020,0,0,N/A
California,Feb 12 2020,0,0,N/A
California,Feb 11 2020,0,0,N/A
California,Feb 10 2020,0,0,N/A
California,Feb  9 2020,0,0,N/A
California,Feb  8 2020,0,0,N/A
California,Feb  7 2020,0,0,N/A
California,Feb  6 2020,0,0,N/A
California,Feb  5 2020,0,0,N/A
California,Feb  4 2020,0,0,N/A
California,Feb  3 2020,0,0,N/A
California,Feb  2 2020,0,0,N/A
California,Feb  1 2020,0,0,N/A
California,Jan 31 2020,0,0,N/A
California,Jan 30 2020,0,0,N/A
California,Jan 29 2020,0,0,N/A
California,Jan 28 2020,0,0,N/A
California,Jan 27 2020,0,0,N/A
California,Jan 26 2020,0,0,N/A
California,Jan 25 2020,0,0,N/A
California,Jan 24 2020,0,0,N/A
California,Jan 23 2020,0,0,N/A
